StudentID,Skills,Qualification,PreferredLocation,NativeLocation,SocialCategory
32,"UI/UX Design, Spring Boot",Diploma,Pune,Mumbai,SC
33,"UI/UX Design, Machine Learning",Diploma,Delhi,Pune,BC
34,"Python, AI/ML, Django, Cybersecurity",B.Tech,Mumbai,Mumbai,ST
35,"Machine Learning, Python, Cybersecurity",M.Tech,Pune,Bangalore,OC
36,"Data Analysis, Embedded Systems, Java",Diploma,Bangalore,Hyderabad,OBC
37,"Java, Embedded Systems, DevOps, C++, Django",M.Sc,Delhi,Bangalore,OBC
38,"Embedded Systems, Python, AI/ML, DevOps",B.Sc,Pune,Delhi,OC
39,"Machine Learning, AI/ML, Spring Boot, Django, Cybersecurity",MBA,Hyderabad,Bangalore,OC
40,"Django, React, C++, UI/UX Design",B.Tech,Delhi,Delhi,SC
41,"Blockchain, C++, React",M.Tech,Pune,Hyderabad,BC
42,"DevOps, Cloud Computing, AI/ML",B.Tech,Pune,Hyderabad,SC
43,"Cybersecurity, Java",B.Sc,Bangalore,Rural-Delhi,SC
44,"Blockchain, Django, Cybersecurity",M.Tech,Bangalore,Rural-Mumbai,ST
45,"Embedded Systems, Cloud Computing, DevOps, Java",M.Tech,Mumbai,Chennai,BC
46,"Machine Learning, UI/UX Design",M.Tech,Chennai,Rural-Bangalore,EWS
47,"C++, UI/UX Design, Blockchain, React",Diploma,Bangalore,Mumbai,SC
48,"Java, C++, Blockchain",Diploma,Bangalore,Mumbai,OC
49,"Data Analysis, AI/ML",M.Tech,Hyderabad,Kolkata,BC
50,"Cybersecurity, Blockchain, Java, DevOps",Diploma,Kolkata,Rural-Hyderabad,SC
51,"SQL, Java, Python, Cybersecurity, C++",B.Sc,Pune,Rural-Hyderabad,BC
52,"Django, Java, React, Embedded Systems",Diploma,Mumbai,Mumbai,BC
53,"SQL, Embedded Systems, DevOps",M.Tech,Chennai,Chennai,OC
54,"DevOps, Django",M.Tech,Bangalore,Rural-Chennai,OC
55,"Python, Embedded Systems, AI/ML",B.Tech,Mumbai,Chennai,EWS
56,"Django, Cybersecurity",B.Sc,Hyderabad,Rural-Hyderabad,BC
57,"Blockchain, React, AI/ML, Data Analysis",Diploma,Kolkata,Delhi,BC
58,"Spring Boot, Python, Cloud Computing, C++",M.Sc,Chennai,Rural-Mumbai,ST
59,"Java, Cybersecurity, Django",B.Sc,Kolkata,Bangalore,OBC
60,"React, C++, Blockchain",Diploma,Chennai,Mumbai,ST
61,"UI/UX Design, Java, Python, DevOps",M.Sc,Pune,Hyderabad,OBC
62,"Cybersecurity, Data Analysis, Cloud Computing",Diploma,Hyderabad,Pune,EWS
63,"UI/UX Design, Django, C++",B.Tech,Hyderabad,Hyderabad,BC
64,"Embedded Systems, React, UI/UX Design",M.Tech,Chennai,Rural-Chennai,SC
65,"Cybersecurity, DevOps, C++, Django",M.Sc,Bangalore,Chennai,OBC
66,"Django, DevOps, SQL, Embedded Systems, AI/ML",MBA,Hyderabad,Bangalore,OC
67,"Spring Boot, Cybersecurity, AI/ML, Python",B.Sc,Kolkata,Rural-Bangalore,OBC
68,"DevOps, React",Diploma,Hyderabad,Hyderabad,ST
69,"Cloud Computing, Machine Learning",M.Sc,Chennai,Kolkata,OC
70,"Cloud Computing, React, C++",Diploma,Mumbai,Rural-Kolkata,EWS
71,"Cloud Computing, Blockchain, Cybersecurity, Java, C++",B.Sc,Bangalore,Chennai,BC
72,"UI/UX Design, Java, React, C++",M.Tech,Chennai,Pune,SC
73,"Cybersecurity, Spring Boot",M.Tech,Bangalore,Rural-Delhi,BC
74,"Cloud Computing, SQL, Embedded Systems, UI/UX Design",B.Tech,Kolkata,Rural-Delhi,ST
75,"Cloud Computing, DevOps, Spring Boot, Embedded Systems, Python",B.Sc,Mumbai,Delhi,BC
76,"Blockchain, DevOps, Cloud Computing",B.Sc,Kolkata,Delhi,BC
77,"C++, AI/ML, UI/UX Design, Cybersecurity",Diploma,Kolkata,Chennai,ST
78,"Cybersecurity, Data Analysis, Embedded Systems",MBA,Mumbai,Rural-Kolkata,BC
79,"Data Analysis, Python",M.Tech,Bangalore,Pune,OBC
80,"SQL, React, Java, DevOps, Python",MBA,Delhi,Hyderabad,BC
81,"Blockchain, SQL",Diploma,Pune,Kolkata,BC
82,"SQL, Cybersecurity, DevOps, Java",M.Sc,Chennai,Bangalore,OC
83,"Cybersecurity, Blockchain, AI/ML, Spring Boot, Data Analysis",MBA,Kolkata,Mumbai,ST
84,"Blockchain, SQL, Django",B.Tech,Chennai,Rural-Bangalore,BC
85,"C++, SQL, Django, Data Analysis, Python",B.Tech,Mumbai,Delhi,OC
86,"Blockchain, C++, Python, AI/ML, Django",M.Tech,Pune,Rural-Hyderabad,ST
87,"SQL, C++, Java, Spring Boot, Machine Learning",B.Sc,Delhi,Rural-Hyderabad,BC
88,"Java, Cloud Computing, UI/UX Design, AI/ML",M.Tech,Delhi,Pune,EWS
89,"Django, Cloud Computing, Blockchain, Data Analysis",MBA,Bangalore,Chennai,ST
90,"Python, AI/ML, Blockchain",B.Tech,Pune,Rural-Kolkata,SC
91,"AI/ML, Cybersecurity, Embedded Systems, Django",B.Tech,Pune,Chennai,ST
92,"Django, Machine Learning, Blockchain",Diploma,Bangalore,Hyderabad,SC
93,"Cybersecurity, C++, Embedded Systems, Data Analysis, Django",B.Sc,Chennai,Kolkata,OBC
94,"AI/ML, SQL, Cloud Computing",M.Sc,Mumbai,Mumbai,BC
95,"DevOps, Data Analysis, Python",M.Tech,Kolkata,Rural-Hyderabad,OC
96,"Spring Boot, Data Analysis, Cybersecurity, UI/UX Design",MBA,Mumbai,Delhi,SC
97,"Django, Embedded Systems, SQL, Python",Diploma,Hyderabad,Rural-Pune,BC
98,"Spring Boot, Cybersecurity, AI/ML",Diploma,Chennai,Chennai,BC
99,"Data Analysis, React, Django, Cybersecurity, Java",B.Tech,Chennai,Rural-Mumbai,OC
100,"Cloud Computing, Embedded Systems, UI/UX Design, C++",M.Sc,Mumbai,Rural-Delhi,BC
