student_id,skills,qualifications,location_preferences,native_location,social_category,is_aspirational,participation_status
S091,C++,M.Tech,Any,"Nagpur, Maharashtra",OC,0,Benefitted
S092,Java,B.Tech,Any,"Patna, Bihar",SBC,0,Rejected
S093,Java,B.Sc,Any,"Kalahandi, Odisha",SBC,1,Benefitted
S094,Deep Learning,MCA,Remote,"Koraput, Odisha",SC,1,Rejected
S095,C++,MBA,Any,"Kalahandi, Odisha",SBC,1,New
S096,Python,M.Tech,Karnataka,"Bengaluru, Karnataka",SBC,0,Benefitted
S097,Machine Learning,M.Tech,Any,"Gaya, Bihar",BC,1,New
S098,Data Analysis,MCA,Maharashtra,"Nagpur, Maharashtra",OC,0,Benefitted
S099,Python,MCA,Odisha,"Kalahandi, Odisha",OC,1,Rejected
S100,C++,B.Tech,Any,"Dhar, Madhya Pradesh",ST,1,Rejected
